school_name,community_name,community_population,distance_km
Al Ittihad Private School - Jumeirah,AL HEBIAH SECOND,1523,102.32873023662657
The International School of Choueifat - DIP,AL WAHEDA,20785,34.832862121165405
Repton School Dubai,AL WOHOOSH,46,104.46828140161288
Bilva Indian School ,AL MAHA,193,103.88245555901146
The English College - Dubai,AL WAHEDA,20785,18.657229292203596
Capital School,UMM NAHAD SECOND,2,107.43608350965509
The International School of Choueifat - Dubai,OUD METHA,14901,48.727646971080944
Dubai Police Kindergarten - Deira,JUMEIRA THIRD,13417,11.40658423030707
The International School of Choueifat - DIP,SAIH SHUA'ALAH,3,163.5404150193673
Ontario International Canadian School ,NAD AL SHIBBA THIRD,767,76.28861658444333
Dovecote Green Primary ,MADINAT AL MATAAR,2697,100.42695439722387
Rajagiri International School,WADI ALAMRADI,3368,21.916992433001404
Salman Al Farsi Iranian School,AL MEZHAR SECOND,11317,8.388799580150092
Russian International School,MARSA DUBAI (AL MINA AL SEYAHI) ,61047,45.14095317201335
Emirates International School - Jumeirah,AL YUFRAH 3,4,135.88694141182907
Lycee Francais International School,NAD AL SHIBBA SECOND,2389,80.54314326423281
Adab Iranian Private School - Boys,AL TWAR SECOND,4835,6.791893211510566
Dubai Arab American Private School,AL YUFRAH 2,58,111.0654604338669
Deira Private School,AL YALAYIS 3,4,116.86461463936874
American School of Dubai,RAS AL KHOR IND. SECOND,2514,99.51192322159837
The Kindergarten Starters,REGA AL BUTEEN,7120,5.782009207532418
Dubai English Speaking School,AL HEBIAH FIFTH,9748,95.44149596602882
Apple International School,AL GOZE IND. SECOND ,159978,39.76815172862495
Towheed Iranian School for Boys,UMM AL MO'MENEEN,309,118.27147671813685
Jumeirah English Speaking School,WARSAN THIRD,13579,112.7391855005916
The English College - Dubai,AL SOFOUH SECOND,6126,62.39980071041226
The Kindergarten Starters,OUD AL MUTEEN SECOND ,5506,14.308756389559273
Springdales School,AL YUFRAH 2,58,129.58005706648797
Al Rashid Al Saleh Private School,AL SAFOUH FIRST,4435,50.66307760286293
GEMS Our Own English High School,REMAH,232,109.15526619312624
Uptown School,NAKHLAT JABAL ALI,5,60.57825267638772
Emirates International School - Jumeirah,AL MURAR,38970,18.665024586669134
Adab Iranian Private School - Boys,WADI AL SAFA 4,2,82.18074144537704
The Indian International School,SAIH AL DAHAL,16,136.99623758964168
The Elite English School,NAD SHAMMA,3124,16.80996276489417
Capital School,GHADEER BARASHY,7,121.63037659778725
Japanese School in Dubai,AL QUSAIS SECOND,12473,12.943142173394959
GEMS World Academy,JUMEIRA FIRST,20356,14.57272762817219
Al Safa Private School,AL TTAY,810,32.34864911028909
Gulf Indian High School,MURDAF,64355,16.460035901111247
Dubai Women's College High School,AL GARHOUD,18535,15.36662026018888
GEMS World Academy,UM RAMOOL,2935,25.246444102674502
Al Salam Private School,WORLD ISLANDS,7,13.619202691601961
Kings' Dubai,AL LAYAN 1,10,149.40716421720012
Lycee Georges Pompidou High School,TRADE CENTER SECOND,12218,45.30728888915886
Apple International School,AL MUTEENA,46185,6.20521827486083
Al Basateen Kindergarten - Al Khawaneej,AL YALAYIS 5,100,112.23121622174352
Ambassador School,MADINAT AL MATAAR,2697,70.52254386864429
Dubai Women's College High School,AL SELAL,665,120.53553242996051
National Charity School,REMAH,232,110.05178621293601
New Indian Model School,WADI AL SAFA 7,8473,89.19576745215677
The Indian International School,UMM ESELAY,204,118.45696579459714
Al Arqam Private School,JUMEIRA BAY,39,13.493361585621457
Grammar School,AL BARSHA SOUTH FOURTH,25974,20.29152408127789
Arab Unity School,AL ROWAIYAH SECOND,25,97.66871454589864
Safa Community School,AL SAFFA SECOND,6679,62.47215102260475
International Academic School,LEHBAB SECOND,1511,107.45623206037564
Dubai International School - Al Garhoud,AL MARMOOM,94,116.18513991792496
The International School of Choueifat - DIP,JABAL ALI INDUSTRIAL THIRD,2462,100.14642249960964
The Children's Garden,AL YUFRAH 1,403,136.2050002309711
Lycee Libanais Francophone Prive,AL THANYAH FIFTH (EMIRATE HILLS FIRST) ,40586,46.259279426590375
Rajagiri International School,AL HAMRIYA,36738,26.303722962797366
Ranches Primary School ,HESSYAN SECOND,45,87.71215761312993
Khadija Al Kobra Iranian School for Girls,ZAABEEL FIRST,3260,31.294251946392514
The Indian High School - Branch,MUGATRAH,804,129.70802005332192
Dubai International Academy,WADI AL SAFA 5,21241,112.09482804515991
Lycee Francais International School,AL MEZHAR SECOND,11317,14.804335399909247
Emirates International School - Meadows,HOR AL ANZ EAST,21218,30.2498481802105
New World Private School,AL THANYAH FIFTH (EMIRATE HILLS FIRST) ,40586,49.18741764646544
Al Ittihad Private School - Jumeirah,AL THANYAH FIFTH (EMIRATE HILLS FIRST) ,40586,64.9208630015755
Adab Iranian Private School - Girls,REGA AL BUTEEN,7120,7.143608869241198
GEMS Our Own English High School,NAZWAH,544,99.5242572246557
Dubai British School - Jumairah Park ,AL JAFLIYA,23963,18.360420111616136
Dovecote Green Primary ,AL REGA,10480,33.1725653618542
Grammar School,MARGHAM,1005,107.68520841860492
GEMS FirstPoint School,AL MERKADH,1317,50.28897762234485
Horizon International Schoool,AL AYAS,1757,37.66767726020513
Dubai Carmel School,AL QUSAIS THIRD,7162,4.703036170624035
GEMS Royal Dubai School,AL FAGAA',417,118.62935267705214
Al Ameen Private School,JABAL ALI INDUSTRIAL SECOND,23000,60.11587054650849
Sheikh Rashid Bin Saeed Islamic Institute,AL HEBIAH SECOND,1523,97.4882047272579
Nord Anglia International School Dubai,AL THANYAH SECOND (JEBEL ALI HORSE RACING),115,73.9878582050137
The Philippine School,AL MERKADH,1317,33.854997293851696
Rajagiri International School,LEHBAB FIRST,3197,100.03030284940316
American International School,AL WARQAA FIRST,24679,52.41984642933209
Ranches Primary School ,YARAAH,94,134.41264796255436
Apple International School,AL RAFFA,47140,19.77477477666537
