school_name,location,latitude,longitude,grades,students,year_established,type_of_school,nearest_healthcare_name,nearest_healthcare_type,nearest_healthcare_distance_km,nearest_metro_station,nearest_metro_distance_km,healthcare_within_1km,healthcare_within_2km,healthcare_within_5km,metro_within_1km,metro_within_2km,metro_within_5km,accessibility_score
Pristine Private School,Al Nahda,25.293458,55.375039,FS1-G12,1529.0,1992.0,UK,Pristine Pvt. School,General Practice,0.0324879229735242,Stadium,2.204924811256234,31,69,169,0,0,70,1.3359500559431499
Queen International School,Hor Al Anz ,25.283108,55.348792,FS1-G11,1179.0,1998.0,UK,Queen International School,Nursing,0.03143462957036424,Al Qiyadah,0.7249382464585375,23,59,362,20,30,170,0.4475367997032682
Raffles International School - South Campus,Umm Suqeim,25.136467,55.194503,FS1-G7,1267.0,2008.0,UK,Senses Residential and Day Care for Special Needs,General Practice,0.16222798748334782,FGB,1.7299240330082244,42,119,348,0,20,50,1.1028456147982737
Raffles World Academy,Umm Suqeim,25.14035,55.196792,KG1-G12,1821.0,2008.0,UK/IB,Raffles World Academy Br Of Raffles International School L L C,General Practice,0.07716462715427669,FGB,1.8832012364175172,61,131,345,0,10,50,1.160786592712221
Rajagiri International School,Al Warqaa ,25.186925,55.402725,KG1-G8,1339.0,2008.0,Indian(CBSE),International Academic School,General Practice,0.13483149654381968,Rashidiya,4.9522040333530954,12,31,109,0,0,10,3.025255018629385
Rashid School for Boys,Nad Al Sheba,25.181331,55.313416,KG1-G12,622.0,1986.0,UK,Healthagon Rehabiltation Center L.L.C,Physiotherapy,0.43761379680209733,Creek,4.908991508143265,4,6,100,0,0,20,3.120440423606798
Regent International School,Emirates  Hills,25.088125,55.173753,FS1-G12,1414.0,1992.0,UK,Jumairah International Nursery,Nursing,0.03328437406609403,Dubai Internet City,1.5534509643856453,6,39,292,0,20,60,0.9453843282578248
Repton School Dubai,Nad Al Sheba,25.145306,55.378833,FS1-G12,2060.0,2007.0,UK/IB,Repton School Fz-LLC,Nursing,0.06932243383696436,Creek,9.119182002007653,3,5,103,0,0,0,5.499238174739378
Russian International School,Al Muhaisnah,25.282619,55.404694,KG1-G11,426.0,1997.0,Russian,Russian Intenational School,Nursing,0.028899452851120354,Al Qusais,2.814827991793085,16,31,160,0,0,50,1.7004565762162993
Salman Al Farsi Iranian School,Al Qusais,25.280592,55.370039,G1-G12,438.0,2000.0,Iranian,WOODLEM PARK SCHOOL LLC,Nursing,0.18089147853594792,Al Nahda,0.8167995578720095,32,95,264,20,40,130,0.5624363261375849
School of Modern Skills,Al Muhaisnah,25.244356,55.416036,KG1-G12,1518.0,2006.0,US,Modern Skills School,General Practice,0.05904091797653235,Etisalat,1.9064448404701184,7,26,163,0,10,30,1.167483271472684
Sharjah American International School,Al Warqaa,25.185614,55.403222,KG1-G12,1563.0,2005.0,US,International Academic School,General Practice,0.0956880462001463,Rashidiya,5.105658124979419,12,33,106,0,0,0,3.10167009346771
St. Mary's Catholic High School,Umm Hurair,25.240369,55.317628,KG2-G11,1928.0,1973.0,UK,English Language Private School,General Practice,0.08771707162797439,Oud Metha,0.4034294877594688,76,209,670,10,30,240,0.27714452130687106
Star International School - Al Twar,Al Twar,25.259086,55.385236,FS1-G8,528.0,2000.0,UK,British Orchard Nursery Al Twar,Nursing,0.29413283832857134,Al Qusais,0.4567326741505792,10,31,254,10,30,120,0.3916927398217761
Star International School - Mirdif,Mirdif,25.223019,55.417214,FS1-G5,469.0,2008.0,UK,EVERYOUNG CLINIC LLC,General Dentistry,0.14642173877408765,Rashidiya,2.73680106478173,13,48,141,0,0,20,1.700649334378673
Horizon International Schoool,Umm Al Sheif,25.132825,55.204881,FS1-G9,861.0,2008.0,UK,Odyssey Nursery LLC (Branch),Nursing,0.29984186656689027,FGB,0.743541632614425,55,152,379,10,20,50,0.5660617261954111
The Central School,Al Nahda,25.291533,55.375722,KG1-G12,3292.0,1981.0,Indian(CBSE),The Central School,General Practice,0.0206767551475705,Stadium,2.0863474491530263,34,75,173,0,0,80,1.260079171550844
The Children's Garden,Al Barsha ,25.094577,55.211878,KG1-KG2,45.0,2012.0,Kindergarten,Redwood Early Learning Center Of Excellence BR Kids First Group LLC.,Nursing,0.04805653707787129,Mashreq,3.0838185620222567,5,21,220,0,0,40,1.8695137520445024
The City School International,Nad Al Hamar,25.193606,55.388731,FS1-G10,753.0,1989.0,UK,The City School International Private,Nursing,0.024776925309243785,Rashidiya,4.079172697543499,10,26,113,0,0,10,2.4574143886497968
The Elite English School,Al Waheda,25.288842,55.340475,KG1-G12,1698.0,1993.0,Indian(CBSE),The Elite English School,Nursing,0.021550213481252273,Abu Hail,1.6205696127313194,7,45,346,0,20,140,0.9809618530312925
The English College - Dubai,Al Safa,25.16905,55.237469,G6-G12,581.0,1992.0,UK,The English College,General Practice,0.05793681594593169,Noor Bank,1.7343241292416205,21,125,436,0,10,30,1.0637692039233448
The Indian Academy,Al Muhaisnah,25.257534,55.386361,KG1-G7,719.0,2012.0,Indian(ICSE),British Orchard Nursery Al Twar,Nursing,0.493398312179733,Al Qusais,0.580808281292792,7,27,259,10,30,120,0.5458442936475685
The Indian High School,Oud Metha,25.240542,55.315133,G5-G12,5896.0,1961.0,Indian(CBSE),The Indian High School Clinic,General Practice,0.017433808725484355,Oud Metha,0.35723993352854516,79,218,676,10,40,230,0.22131748360732084
The Indian High School - Branch,Al Garhoud,25.248436,55.340581,KG1-G4,4195.0,1988.0,Indian(CBSE),The Indian High School Clinic(Branch),General Practice,0.11599209887562151,GGICO,0.13019588177279265,44,83,584,10,40,240,0.12451436861392419
The Indian International School,Dubai Silicon Oasis,25.115873,55.375965,KG1-G7,1858.0,2011.0,Indian(CBSE),The Indian International School(Dso Branch),General Practice,0.16530795468008933,Creek,12.051602683334218,14,34,68,0,0,0,7.2970847918725665
The International School of Choueifat - DIP,Dubai Investment Park,24.983802,55.15553,KG1-G10,2190.0,2012.0,SABIS (UK/US),Karama Medical Centre(Br Dip),General Practice,0.3436909859843426,Station R75,0.6449324616312266,3,15,54,10,10,40,0.524435871372473
The International School of Choueifat - Dubai,Al Sufouh,25.107181,55.171625,KG1-G12,4040.0,1994.0,SABIS (UK/US),The International School Of Choueifat Clinic,General Practice,0.03881766113324099,Dubai Internet City,0.6057379028942793,14,53,301,10,10,60,0.378969806189864
The Kindergarten Starters,Al Garhoud,25.247964,55.339353,KG1-G5,5511.0,1982.0,Indian(CBSE),The Indian High School Clinic(Branch),General Practice,0.10128944129269704,GGICO,0.18371034194582703,43,87,583,10,30,230,0.15074198168457503
The Millennium School,Al Qusais,25.286631,55.367103,KG1-G12,2954.0,2000.0,Indian(CBSE),Al Maaref Private School,Nursing,0.08559048616547171,Stadium,1.1278977049671775,35,81,243,0,30,110,0.710974817446495
