school_name,location,latitude,longitude,type_of_school,grades,students,year_established,nearest_healthcare_name,nearest_healthcare_distance_km_x,nearest_metro_station,nearest_metro_distance_km_x,nearest_community,nearest_community_distance_km,healthcare_accessibility_tier,metro_accessibility_tier,community_accessibility_tier,performance_category,geographic_cluster_label,accessibility_category,comprehensive_accessibility_score,final_urban_score,healthcare_within_1km_x,metro_within_1km_x,communities_within_1km,population_within_1km
Little Flowers English School,Hor Al Anz,25.282439,55.336397,Indian(CBSE),KG1-G6,947.0,1984.0,Little Flower English School,0.4390721412316529,Abu Hail,1.2749421057978891,AL QUSAIS SECOND,1.083952707200253,Excellent,Good,Good,Medium,Northern Cluster,Excellent,4.3100000000000005,2.9976000000000003,11,0,0,0
Lycee Francais International School,Dubai Academic City,25.241403,55.312731,French,KG1-G12,1948.0,2005.0,French International Private School,0.0549940281367447,Oud Metha,0.4106542812877484,AYAL NASIR,2.0962920551648447,Excellent,Excellent,Moderate,High,Northern Cluster,Excellent,4.7,3.2796,58,10,0,0
Lycee Georges Pompidou High School,Dubai Academic City,25.104978,55.395858,French,G1-G12,1756.0,2005.0,Lycee Francais International Georges Pompidou,0.0441666466366001,Creek,13.90700548984606,AL GARHOUD,8.400446035763753,Excellent,Poor,Poor,High,Western Cluster,Excellent,5.0,3.1672,4,0,0,0
Lycee Georges Pompidou Primary School,Oud Metha,25.233711,55.316025,French,KG1-KG2,252.0,1998.0,Lycee Francais International Georges Pompidou Om,0.0833402448642494,Dubai Health Care,0.7557114223252812,AYAL NASIR,2.534039869154053,Excellent,Excellent,Moderate,High,Northern Cluster,Excellent,4.7,3.2624,103,10,0,0
Lycee Libanais Francophone Prive,Al Muhaisnah,25.275092,55.410419,French,KG1-G12,962.0,2004.0,United International Pvt. School,0.3526896213822973,Etisalat,2.44630168024941,DUBAI  AIRPORT,5.145324047522442,Excellent,Moderate,Poor,High,Eastern Cluster,Excellent,5.0,3.3128,9,0,0,0
Mirdif Private School,Al Mizhar,25.237383,55.437061,US,KG1-G9,747.0,1995.0,Healthhub Plus (Br of Al Futtaim Healthcare Single Person Company LLC),0.0918791285597498,Etisalat,4.111135236351522,AL KHBEESI,5.532566790517318,Excellent,Moderate,Poor,High,Eastern Cluster,Excellent,5.0,3.2132,23,0,0,0
National Charity School,Al Garhoud,25.238522,55.345831,MOE,G1-G12,5333.0,1984.0,National Charity School Boys,0.0765986584103651,Airport Terminal 1,1.2883140641294868,AL REGA,0.3115290256675029,Excellent,Good,Excellent,Medium,Northern Cluster,High,3.8,2.6968,21,0,2,60570
New Academy School,Al Raffa,25.250636,55.284283,US,KG1-G12,995.0,1990.0,New Academy School,0.036568052945983,Abu Dhabi Commercial Bank,1.5570654124528451,AL TWAR FIRST,1.5899841131101695,Excellent,Good,Good,High,Northern Cluster,Excellent,4.4,3.0448000000000004,19,0,0,0
New Indian Model School,Al Garhoud,25.237008,55.347017,Indian(CBSE),KG1-G12,6973.0,1980.0,New Indian Model School Clinic,0.0628856929254178,Airport Terminal 1,1.3833994219144508,AL REGA,0.2830724823203083,Excellent,Good,Excellent,Medium,Northern Cluster,High,3.8,2.6924,16,0,3,60584
New World Private School,Al Twar ,25.265406,55.374644,MOE,KG1-G12,1854.0,2005.0,Mnm Optics Llc Branch,0.3317134697170045,Dubai Airport Free Zone,0.5042431372657136,DUBAI  AIRPORT,1.6542639468069935,Excellent,Excellent,Good,High,Northern Cluster,Excellent,4.4,3.0904000000000003,20,10,0,0
Nibras International School,Green Community,25.000017,55.171757,US,KG1-G12,854.0,2005.0,Al Nibras Private School,0.0595808166933058,Station R74,1.7278629398541063,AL BARSHAA FIRST,12.989702417654982,Excellent,Good,Poor,High,Southern Cluster,Excellent,5.0,3.348,7,0,0,0
North American International School,Al Mizhar,25.236083,55.432139,US,KG1-G12,499.0,2007.0,North American International School L.L.C,0.0743612822826409,Etisalat,3.759992806134584,AL KHBEESI,5.115222733552028,Excellent,Moderate,Poor,High,Eastern Cluster,Excellent,5.0,3.2304,28,0,0,0
GEMS Our Own English High School,Al Warqaa ,25.193874,55.426669,Indian(CBSE),KG1-G12,10169.0,1972.0,Gems Our Own English High School,0.0483707187122662,Rashidiya,5.391673423107701,AL HAMRIYA PORT,1.2435238406745115,Excellent,Poor,Good,Medium,Eastern Cluster,Excellent,4.4,2.8032000000000004,1,0,0,0
